Product Name,Color,Dimensions,Weight
The Carry-On,Sea Green, 21.7" x 14.4" x 9", 7.5 lbs
The Carry-On,Clay Pink, 21.7" x 14.4" x 9", 7.5 lbs
The Carry-On,Tango Red, 21.7" x 14.4" x 9", 7.5 lbs
The Carry-On,Coast Blue, 21.7" x 14.4" x 9", 7.5 lbs
The Carry-On,Translucent Green, 21.7" x 14.4" x 9", 7.5 lbs
The Carry-On,Olive Green, 21.7" x 14.4" x 9", 7.5 lbs
The Carry-On,Jet Black, 21.7" x 14.4" x 9", 7.5 lbs
The Carry-On,Sunshine Yellow, 21.7" x 14.4" x 9", 7.5 lbs
The Carry-On,Cloud Gray, 21.7" x 14.4" x 9", 7.5 lbs
The Carry-On,Navy Blue, 21.7" x 14.4" x 9", 7.5 lbs
The Carry-On,Salt White (Gloss), 21.7" x 14.4" x 9", 7.5 lbs
The Carry-On,Sorbet Orange, 21.7" x 14.4" x 9", 7.5 lbs
The Bigger Carry-On,Tango Red, 22.7" x 15.4" x 9.6", 7.9 lbs
The Bigger Carry-On,Cloud Gray, 22.7" x 15.4" x 9.6", 7.9 lbs
The Bigger Carry-On,Olive Green, 22.7" x 15.4" x 9.6", 7.9 lbs
The Bigger Carry-On,Jet Black, 22.7" x 15.4" x 9.6", 7.9 lbs
The Bigger Carry-On,Navy Blue, 22.7" x 15.4" x 9.6", 7.9 lbs
The Bigger Carry-On,Coast Blue, 22.7" x 15.4" x 9.6", 7.9 lbs
The Bigger Carry-On,Sunshine Yellow, 22.7" x 15.4" x 9.6", 7.9 lbs
The Bigger Carry-On,Salt White (Gloss), 22.7" x 15.4" x 9.6", 7.9 lbs
The Bigger Carry-On,Sea Green, 22.7" x 15.4" x 9.6", 7.9 lbs
The Bigger Carry-On,Sorbet Orange, 22.7" x 15.4" x 9.6", 7.9 lbs
